Net generation for all sectors per State,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Minnesota : nuclear,11789,13685,13414,13296,12835,13183,13103,12997,12393,13478,11959,11944,10708,12707,12039,13861,13904,14601,14105,14677,14123
Missouri,,,,,,,,,,,,,,,,,,,,,
Missouri : all fuels (utility-scale),79545,81162,87225,87633,90828,91686,91153,91029,88354,92313,94876,91804,91627,87834,83640,78612,84607,85095,78279,72568,76941
Missouri : nuclear,8384,8390,9700,7831,8031,10117,9372,9379,10247,8996,9371,10718,8367,9276,10440,9430,8304,10655,9190,7742,4292
Nebraska,,,,,,,,,,,,,,,,,,,,,
Nebraska : all fuels (utility-scale),30485,31618,30456,32009,31465,31670,32443,32374,34002,36630,36095,34217,37105,39431,39883,36525,35407,36966,37298,36849,37911
Nebraska : nuclear,8726,10122,7997,10241,8802,9003,11042,9479,9435,11054,6933,5802,6865,10102,10325,9351,6913,5632,6952,6189,6881
North Dakota,,,,,,,,,,,,,,,,,,,,,
North Dakota : all fuels (utility-scale),30332,31306,31322,29936,31933,30881,31224,32735,34196,34740,35080,36125,35022,36463,37157,37856,41505,42615,41147,42176,43032
North Dakota : nuclear,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
South Dakota,,,,,,,,,,,,,,,,,,,,,
South Dakota : all fuels (utility-scale),7401,7722,7944,7510,6521,7132,6137,7083,8197,10050,11999,11473,10109,10995,9633,11524,10936,12616,14507,14147,17322
South Dakota : nuclear,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Delaware,,,,,,,,,,,,,,,,,,,,,
Delaware : all fuels (utility-scale),6808,6002,7392,7856,8137,7182,8534,7524,4842,5628,6590,8634,7761,7704,7810,8731,7496,6241,5259,5205,4305
Delaware : nuclear,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
District Of Columbia,,,,,,,,,,,,,,,,,,,,,
District Of Columbia : all fuels (utility-scale),123,262,74,36,226,81,75,72,35,200,201,72,66,68,54,76,67,79,174,201,211
District Of Columbia : nuclear,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Florida,,,,,,,,,,,,,,,,,,,,,
Florida : all fuels (utility-scale),190945,203353,212610,218118,220256,223752,225416,219637,217952,229096,221895,221096,222399,230016,237413,238262,238413,244252,245603,250828,246450
Florida : nuclear,31583,33704,30979,31216,28759,31426,29289,32133,29118,23936,22015,17870,26526,27868,28122,29320,29146,29312,29108,29419,28058
Georgia,,,,,,,,,,,,,,,,,,,,,
Georgia : all fuels (utility-scale),118317,126512,124077,126813,136668,138010,145155,136173,128698,137577,124749,122306,120954,125837,128818,133380,127455,129239,128692,120129,124201
